ability	land_unit
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_mon_ushabti_great
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_inf_tomb_guard
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_inf_tomb_guard
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_inf_tomb_guard_halberd
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_inf_tomb_guard_halberd
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_art_screaming_skull_catapult
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_art_screaming_skull_catapult
wh2_dlc09_unit_passive_unstable_mark_ii_sand	steve_ark_tmb_liche_priest_vampire
wh2_dlc09_unit_passive_unstable_sand	steve_ark_tmb_liche_priest_vampire
wh3_main_unit_passive_single_entity	steve_ark_tmb_liche_priest_vampire
wh2_dlc09_unit_passive_unstable_mark_ii_sand	steve_ark_tmb_liche_priest_vampire_1
wh2_dlc09_unit_passive_unstable_sand	steve_ark_tmb_liche_priest_vampire_1
wh3_main_unit_passive_single_entity	steve_ark_tmb_liche_priest_vampire_1
wh2_dlc09_unit_passive_unstable_mark_ii_sand	stephen_tmb_cha_tomb_king_1
wh2_dlc09_unit_passive_unstable_sand	stephen_tmb_cha_tomb_king_1
wh3_main_unit_passive_single_entity	stephen_tmb_cha_tomb_king_1
wh2_dlc09_unit_passive_unstable_mark_ii_sand	stephen_tmb_cha_tomb_king_2
wh2_dlc09_unit_passive_unstable_sand	stephen_tmb_cha_tomb_king_2
wh3_main_unit_passive_single_entity	stephen_tmb_cha_tomb_king_2
wh2_dlc09_unit_passive_unstable_mark_ii_sand	stephen_tmb_cha_tomb_king_3
wh2_dlc09_unit_passive_unstable_sand	stephen_tmb_cha_tomb_king_3
wh3_main_unit_passive_single_entity	stephen_tmb_cha_tomb_king_3
wh2_dlc09_unit_passive_unstable_mark_ii_sand	stephen_tmb_cha_tomb_king_4
wh2_dlc09_unit_passive_unstable_sand	stephen_tmb_cha_tomb_king_4
wh3_main_unit_passive_single_entity	stephen_tmb_cha_tomb_king_4
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_mon_tomb_scorpion
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_mon_tomb_scorpion
wh3_main_unit_passive_single_entity	xereus_tmb_mon_tomb_scorpion
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_inf_nehekhara_warriors
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_inf_nehekhara_warriors
wh2_dlc09_spell_death_spirit_leech_bound	xereus_tmb_mon_heirotitan
wh2_dlc09_unit_passive_spirit_conduit	xereus_tmb_mon_heirotitan
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_mon_heirotitan
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_mon_heirotitan
wh3_main_unit_passive_single_entity	xereus_tmb_mon_heirotitan
wh2_dlc15_spell_bound_gaze_of_nagash	xereus_tmb_mon_heirotitan
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_mon_necrosphinx
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_mon_necrosphinx
wh3_main_unit_passive_single_entity	xereus_tmb_mon_necrosphinx
wh_main_unit_passive_unbinding_zombie	xereus_tmb_inf_zmb_summon
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_inf_zmb_summon
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_inf_zmb_summon
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_cav_necropolis_knights_1
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_cav_necropolis_knights_1
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_cav_necropolis_knights_2
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_cav_necropolis_knights_2
wh3_main_unit_passive_single_entity	xereus_tmb_cha_liche_priest_death_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_cha_liche_priest_death_0
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_cha_liche_priest_death_0
wh3_main_unit_passive_single_entity	xereus_tmb_cha_liche_priest_death_1
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_cha_liche_priest_death_1
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_cha_liche_priest_death_1
wh3_main_unit_passive_single_entity	xereus_tmb_cha_liche_priest_light_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_cha_liche_priest_light_0
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_cha_liche_priest_light_0
wh3_main_unit_passive_single_entity	xereus_tmb_cha_liche_priest_light_1
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_cha_liche_priest_light_1
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_cha_liche_priest_light_1
wh3_main_unit_passive_single_entity	xereus_tmb_cha_liche_priest_nehekhara_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_cha_liche_priest_nehekhara_0
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_cha_liche_priest_nehekhara_0
wh3_main_unit_passive_single_entity	xereus_tmb_cha_liche_priest_nehekhara_1
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_cha_liche_priest_nehekhara_1
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_cha_liche_priest_nehekhara_1
