building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
stephen_tmb_followers_major_2	wh_main_effect_technology_research_points		faction_to_faction_own_unseen	2.0	1.0	1.0
stephen_tmb_followers_major_3	wh3_main_effect_building_settlement_initial_supply_points		region_to_region_own	1000.0	500.0	0.0
stephen_tmb_followers_major_3	wh3_main_effect_chaos_realm_trait_removal	IsChaosCampaign	region_to_region_own	50.0	25.0	0.0
stephen_tmb_followers_major_3	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_province_own	8.0	4.0	0.0
stephen_tmb_followers_major_3	wh3_main_effect_major_settlement_conversion_bastion_dummy		province_to_province_own	1.0	1.0	0.0
stephen_tmb_followers_major_3	wh_main_effect_construction_slot_multiple_dummy		this_building	3.0	3.0	3.0
stephen_tmb_followers_major_3	wh_main_effect_economy_gdp_subsistance		building_to_building_own	150.0	75.0	0.0
stephen_tmb_followers_major_3	wh_main_effect_province_growth_building		region_to_province_own	25.0	12.0	0.0
stephen_tmb_followers_major_3	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0	1.0	1.0
stephen_tmb_followers_major_3	wh_main_effect_technology_research_points		faction_to_faction_own_unseen	3.0	1.0	1.0
stephen_tmb_followers_major_4	wh3_main_effect_building_settlement_initial_supply_points		region_to_region_own	1000.0	500.0	0.0
stephen_tmb_followers_major_4	wh3_main_effect_chaos_realm_trait_removal	IsChaosCampaign	region_to_region_own	50.0	25.0	0.0
stephen_tmb_followers_major_4	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_province_own	10.0	5.0	0.0
stephen_tmb_followers_major_4	wh3_main_effect_major_settlement_conversion_bastion_dummy		province_to_province_own	1.0	1.0	0.0
stephen_tmb_followers_major_4	wh_main_effect_construction_slot_multiple_dummy		this_building	5.0	5.0	5.0
stephen_tmb_followers_major_4	wh_main_effect_economy_gdp_subsistance		building_to_building_own	200.0	100.0	0.0
stephen_tmb_followers_major_4	wh_main_effect_province_growth_building		region_to_province_own	30.0	15.0	0.0
stephen_tmb_followers_major_4	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0	1.0	1.0
stephen_tmb_followers_major_4	wh_main_effect_technology_research_points		faction_to_faction_own_unseen	4.0	1.0	1.0
stephen_tmb_followers_major_5	wh3_main_effect_building_settlement_initial_supply_points		region_to_region_own	1000.0	500.0	0.0
stephen_tmb_followers_major_5	wh3_main_effect_chaos_realm_trait_removal	IsChaosCampaign	region_to_region_own	50.0	25.0	0.0
stephen_tmb_followers_major_5	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_province_own	12.0	6.0	0.0
stephen_tmb_followers_major_5	wh3_main_effect_major_settlement_conversion_bastion_dummy		province_to_province_own	1.0	1.0	0.0
stephen_tmb_followers_major_5	wh_main_effect_construction_slot_multiple_dummy		this_building	7.0	7.0	7.0
stephen_tmb_followers_major_5	wh_main_effect_economy_gdp_subsistance		building_to_building_own	250.0	125.0	0.0
stephen_tmb_followers_major_5	wh_main_effect_province_growth_building		region_to_province_own	40.0	20.0	0.0
stephen_tmb_followers_major_5	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0	1.0	1.0
stephen_tmb_followers_major_5	wh_main_effect_technology_research_points		faction_to_faction_own_unseen	5.0	1.0	1.0
stephen_tmb_followers_necropolis_1	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_province_own	4.0	2.0	0.0
stephen_tmb_followers_necropolis_1	wh_main_effect_unit_recruitment_points		province_to_province_own	1.0	1.0	0.0
stephen_tmb_followers_necropolis_1	wh_main_effect_public_order_base		province_to_province_own	4.0	2.0	0.0
stephen_tmb_followers_necropolis_2	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_province_own	8.0	4.0	0.0
stephen_tmb_followers_necropolis_2	wh_main_effect_unit_recruitment_points		province_to_province_own	2.0	1.0	0.0
stephen_tmb_followers_necropolis_2	wh_main_effect_public_order_base		province_to_province_own	8.0	4.0	0.0
stephen_tmb_followers_necropolis_3	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_province_own	12.0	6.0	0.0
stephen_tmb_followers_necropolis_3	wh_main_effect_unit_recruitment_points		province_to_province_own	4.0	2.0	0.0
stephen_tmb_followers_necropolis_3	wh_main_effect_public_order_base		province_to_province_own	12.0	6.0	0.0
stephen_tmb_followers_minor_walls_1	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	1.0	0.0
stephen_tmb_followers_minor_walls_1	wh3_main_effect_building_settlement_supply_points		region_to_region_own	50.0	50.0	50.0
stephen_tmb_followers_minor_walls_2	sda_effect_unit_cap_xereus_tmb_art_screaming_skull_catapult		building_to_faction_own	1.0	1.0	0.0
stephen_tmb_followers_minor_walls_2	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	1.0	0.0
stephen_tmb_followers_minor_walls_2	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0	1.0	1.0
stephen_tmb_followers_minor_walls_2	wh3_main_effect_building_settlement_supply_points		region_to_region_own	100.0	100.0	100.0
stephen_tmb_followers_major_walls_1	sda_effect_unit_cap_xereus_tmb_art_screaming_skull_catapult		building_to_faction_own	1.0	1.0	0.0
stephen_tmb_followers_major_walls_1	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	1.0	0.0
stephen_tmb_followers_major_walls_1	wh2_main_effect_tower_projectile_lzd_2		region_to_region_own	2.0	2.0	2.0
stephen_tmb_followers_major_walls_1	wh_main_effect_force_army_campaign_siege_defend_attrition		region_to_force_own_unseen	-5.0	-3.0	0.0
stephen_tmb_followers_major_walls_2	sda_effect_unit_cap_xereus_tmb_art_screaming_skull_catapult		building_to_faction_own	1.0	1.0	0.0
stephen_tmb_followers_major_walls_2	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	1.0	0.0
stephen_tmb_followers_major_walls_2	wh2_main_effect_tower_projectile_lzd_3		region_to_region_own	3.0	3.0	3.0
stephen_tmb_followers_major_walls_2	wh_main_effect_force_army_campaign_siege_defend_attrition		region_to_force_own_unseen	-10.0	-5.0	0.0
stephen_tmb_followers_major_walls_3	sda_effect_unit_cap_xereus_tmb_art_screaming_skull_catapult		building_to_faction_own	1.0	1.0	0.0
stephen_tmb_followers_major_walls_3	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	1.0	0.0
stephen_tmb_followers_major_walls_3	wh2_main_effect_tower_projectile_lzd_4		region_to_region_own	4.0	4.0	4.0
stephen_tmb_followers_major_walls_3	wh_main_effect_force_army_campaign_siege_defend_attrition		region_to_force_own_unseen	-15.0	-7.0	0.0
stephen_tmb_followers_ushabti_1	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	0.0	0.0
stephen_tmb_followers_ushabti_1	sda_effect_unit_cap_xereus_tmb_mon_ushabti		building_to_faction_own	1.0	1.0	0.0
stephen_tmb_followers_ushabti_2	sda_effect_unit_cap_xereus_tmb_mon_ushabti		building_to_faction_own	1.0	2.0	0.0
stephen_tmb_followers_ushabti_2	sda_effect_unit_cap_xereus_tmb_mon_ushabti_great		building_to_faction_own	1.0	1.0	0.0
stephen_tmb_followers_ushabti_2	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	0.0	0.0
stephen_tmb_followers_barracks_1	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	0.0	0.0
stephen_tmb_followers_barracks_1	sda_effect_unit_cap_xereus_tmb_inf_skeleton_archers		building_to_faction_own	4.0	4.0	0.0
stephen_tmb_followers_barracks_1	sda_effect_unit_cap_xereus_tmb_inf_nehekhara_warriors		building_to_faction_own	2.0	0.0	0.0
stephen_tmb_followers_barracks_2	sda_effect_unit_cap_xereus_tmb_inf_skeleton_archers		building_to_faction_own	4.0	4.0	0.0
stephen_tmb_followers_barracks_2	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	0.0	0.0
stephen_tmb_followers_barracks_2	sda_effect_unit_cap_xereus_tmb_inf_nehekhara_warriors		building_to_faction_own	3.0	3.0	0.0
stephen_tmb_followers_barracks_2	sda_effect_unit_cap_xereus_tmb_inf_tomb_guard		building_to_faction_own	1.0	1.0	0.0
stephen_tmb_followers_barracks_3	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	0.0	0.0
stephen_tmb_followers_barracks_3	sda_effect_unit_cap_xereus_tmb_inf_skeleton_archers		building_to_faction_own	6.0	6.0	0.0
stephen_tmb_followers_barracks_3	sda_effect_unit_cap_xereus_tmb_inf_nehekhara_warriors		building_to_faction_own	4.0	4.0	0.0
stephen_tmb_followers_barracks_3	sda_effect_unit_cap_xereus_tmb_inf_tomb_guard		building_to_faction_own	2.0	2.0	0.0
stephen_tmb_followers_barracks_3	sda_effect_unit_cap_xereus_tmb_inf_tomb_guard_halberd		building_to_faction_own	1.0	1.0	0.0
arkhan_tmb_vault_nagash	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	50.0	25.0	0.0
arkhan_tmb_vault_nagash	wh_main_effect_force_stat_magic_resistance		faction_to_force_own	10.0	5.0	0.0
arkhan_tmb_vault_nagash	wh3_main_effect_winds_of_magic_pool_cap		faction_to_force_own	5.0	3.0	0.0
arkhan_tmb_vault_nagash	wh_main_faction_xp_increase_generals		province_to_province_own_factionwide	3.0	2.0	0.0
arkhan_tmb_vault_nagash	wh_main_faction_xp_increase_generals_hidden		faction_to_force_own	3.0	2.0	0.0
stephen_tmb_followers_scorpions_1	sda_effect_unit_cap_xereus_tmb_mon_tomb_scorpion		building_to_faction_own	1.0	1.0	0.0
stephen_tmb_followers_scorpions_1	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	1.0	0.0
stephen_tmb_followers_hierotitan_1	sda_effect_unit_cap_xereus_tmb_mon_heirotitan		building_to_faction_own	1.0	1.0	0.0
stephen_tmb_followers_necrosphinx_1	sda_effect_unit_cap_xereus_tmb_mon_necrosphinx		building_to_faction_own	1.0	1.0	0.0
stephen_tmb_followers_decaying_battlefield_1	wh3_main_effect_campaign_enable_attrition_good		region_to_force_enemy	1.0	1.0	0.0
stephen_tmb_followers_decaying_battlefield_1	wh_main_effect_public_order_base		province_to_province_own	2.0	1.0	0.0
stephen_tmb_followers_decaying_battlefield_1	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	1.0	0.0
stephen_tmb_followers_decaying_battlefield_2	wh3_main_effect_campaign_enable_attrition_good		region_to_force_enemy	1.0	1.0	0.0
stephen_tmb_followers_decaying_battlefield_2	wh_main_effect_public_order_base		province_to_province_own	4.0	2.0	0.0
stephen_tmb_followers_decaying_battlefield_2	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	2.0	1.0	0.0
stephen_tmb_followers_decaying_battlefield_3	wh3_main_effect_campaign_enable_attrition_good		region_to_force_enemy	1.0	1.0	0.0
stephen_tmb_followers_decaying_battlefield_3	wh_main_effect_public_order_base		province_to_province_own	6.0	3.0	0.0
stephen_tmb_followers_decaying_battlefield_3	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	3.0	1.0	0.0
stephen_tmb_followers_cavalry_1	stephen_effect_unit_cap_xereus_tmb_cav_necropolis_knights_1		building_to_faction_own	1.0	1.0	0.0
stephen_tmb_followers_cavalry_2	stephen_effect_unit_cap_xereus_tmb_cav_necropolis_knights_2		building_to_faction_own	1.0	1.0	0.0
stephen_tmb_followers_cavalry_2	stephen_effect_unit_cap_xereus_tmb_cav_necropolis_knights_1		building_to_faction_own	1.0	0.0	0.0
stephen_tmb_followers_graveguard	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	2.0	0.0	0.0
stephen_tmb_followers_graveguard	wh3_main_effect_corruption_reduction_technology		region_to_region_own	-1.0	0.0	0.0
stephen_tmb_followers_graveguard	wh2_dlc09_effect_unit_cap_xereus_tmb_inf_grave_guard		building_to_faction_own	2.0	1.0	0.0
stephen_tmb_followers_graveguard	wh2_dlc09_effect_unit_cap_xereus_tmb_inf_grave_guard_great		building_to_faction_own	1.0	1.0	0.0
stephen_tmb_followers_graveguard	wh_main_effect_force_stat_weapon_strength		region_to_force_own	5.0	5.0	0.0
wh2_dlc09_tmb_arkhan_burial_mound_2	sda_effect_unit_cap_xereus_tmb_inf_cairn_wraith		building_to_faction_own	2.0	1.0	0.0
stephen_tmb_followers_minor_1	wh3_main_effect_building_settlement_initial_supply_points		region_to_region_own	1000.0	500.0	0.0
stephen_tmb_followers_minor_1	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	1.0	0.0
stephen_tmb_followers_minor_1	wh_main_effect_construction_slot_dummy		this_building	1.0	1.0	1.0
stephen_tmb_followers_minor_1	wh_main_effect_economy_gdp_subsistance		building_to_building_own	50.0	25.0	0.0
stephen_tmb_followers_minor_1	wh_main_effect_province_growth_building		region_to_province_own	15.0	7.0	0.0
stephen_tmb_followers_minor_1	wh_main_effect_technology_research_points		faction_to_faction_own_unseen	1.0	1.0	1.0
stephen_tmb_followers_minor_1	wh_main_effect_unit_recruitment_points		province_to_province_own_unseen	1.0	1.0	0.0
stephen_tmb_followers_minor_2	wh3_main_effect_building_settlement_initial_supply_points		region_to_region_own	1000.0	500.0	0.0
stephen_tmb_followers_minor_2	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	1.0	0.0
stephen_tmb_followers_minor_2	wh_main_effect_construction_slot_multiple_dummy		this_building	2.0	2.0	2.0
stephen_tmb_followers_minor_2	wh_main_effect_economy_gdp_subsistance		building_to_building_own	100.0	50.0	0.0
stephen_tmb_followers_minor_2	wh_main_effect_province_growth_building		region_to_province_own	20.0	10.0	0.0
stephen_tmb_followers_minor_2	wh_main_effect_technology_research_points		faction_to_faction_own_unseen	2.0	1.0	1.0
stephen_tmb_followers_minor_2	wh_main_effect_unit_recruitment_points		province_to_province_own_unseen	1.0	1.0	0.0
stephen_tmb_followers_minor_3	wh3_main_effect_building_settlement_initial_supply_points		region_to_region_own	1000.0	500.0	0.0
stephen_tmb_followers_minor_3	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_region_own	1.0	1.0	0.0
stephen_tmb_followers_minor_3	wh_main_effect_construction_slot_multiple_dummy		this_building	3.0	3.0	3.0
stephen_tmb_followers_minor_3	wh_main_effect_economy_gdp_subsistance		building_to_building_own	150.0	75.0	0.0
stephen_tmb_followers_minor_3	wh_main_effect_province_growth_building		region_to_province_own	25.0	12.0	0.0
stephen_tmb_followers_minor_3	wh_main_effect_technology_research_points		faction_to_faction_own_unseen	3.0	1.0	1.0
stephen_tmb_followers_minor_3	wh_main_effect_unit_recruitment_points		province_to_province_own_unseen	1.0	1.0	0.0
