faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character	campaign_exclusive	armory_item_set
wh2_dlc09_tmb_followers_of_nagash	false	steve_ark_tmb_liche_priest_vampire_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_cha_liche_priest_vampire_1.png	uniform_steve_ark_tmb_liche_priest_vampire_1	wh2_dlc09_tmb_cha_liche_priest_0	false	
wh2_dlc09_tmb_followers_of_nagash	true	stephen_tmb_cha_tomb_king_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/stephen_ch_tomb_king_campaign_01_0.png	stephen_uniform_tmb_tomb_king_1	wh2_dlc09_tmb_cha_tomb_king_0	false	
wh2_dlc09_tmb_followers_of_nagash	true	stephen_tmb_cha_tomb_king_2	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/stephen_ch_tomb_king_campaign_01_0.png	stephen_uniform_tmb_tomb_king_1	wh2_dlc09_tmb_cha_tomb_king_0	false	
wh2_dlc09_tmb_followers_of_nagash	true	stephen_tmb_cha_tomb_king_3	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/stephen_ch_tomb_king_campaign_01_0.png	stephen_uniform_tmb_tomb_king_1	wh2_dlc09_tmb_cha_tomb_king_0	false	
wh2_dlc09_tmb_followers_of_nagash	true	stephen_tmb_cha_tomb_king_4	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/stephen_ch_tomb_king_campaign_01_0.png	stephen_uniform_tmb_tomb_king_1	wh2_dlc09_tmb_cha_tomb_king_0	false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_mon_tomb_scorpion	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_inf_nehekhara_warriors	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_mon_heirotitan	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_mon_necrosphinx	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_cha_liche_priest_death_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_cha_liche_priest_vampire_2.png	xereus_uniform_tmb_cha_liche_priest_death_1	wh2_dlc09_tmb_cha_liche_priest_0	false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_cha_liche_priest_death_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_cha_liche_priest_vampire_2.png	xereus_uniform_tmb_cha_liche_priest_death_1	wh2_dlc09_tmb_cha_liche_priest_0	false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_cha_liche_priest_light_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_cha_liche_priest_vampire_3.png	xereus_uniform_tmb_cha_liche_priest_light_1	wh2_dlc09_tmb_cha_liche_priest_0	false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_cha_liche_priest_light_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_cha_liche_priest_vampire_3.png	xereus_uniform_tmb_cha_liche_priest_light_1	wh2_dlc09_tmb_cha_liche_priest_0	false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_cha_liche_priest_nehekhara_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_cha_liche_priest_vampire_4.png	xereus_uniform_tmb_cha_liche_priest_nehekhara_1	wh2_dlc09_tmb_cha_liche_priest_0	false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_cha_liche_priest_nehekhara_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_cha_liche_priest_vampire_4.png	xereus_uniform_tmb_cha_liche_priest_nehekhara_1	wh2_dlc09_tmb_cha_liche_priest_0	false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_cav_necropolis_knights_1	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_cav_necropolis_knights_2	true	true				false	
