unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed
xereus_tmb_inf_skeleton_spearmen		-1	melee_infantry	1	false	xereus_tmb_inf_skeleton_spearmen	160	0	350	wh_main_shp_transport	1	1	160	0	0	heavy		0	198765886	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_spear	1	false	tmb_skeleton_warriors		false		325.0	0.0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
xereus_tmb_inf_skeleton_warriors		-1	melee_infantry	1	false	xereus_tmb_inf_skeleton_warriors	160	0	325	wh_main_shp_transport	1	1	160	0	0	heavy		0	198765887	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_sword	1	false	tmb_skeleton_warriors		false		300.0	0.0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
xereus_tmb_inf_skeleton_archers		0	missile_infantry	1	false	xereus_tmb_inf_skeleton_archers	120	0	475	wh_main_shp_transport	1	1	120	0	0	light		0	198765888	true	wh2_dlc09_vo_culture_Tomb_Kings	missile_infantry_bow	1	false	tmb_tomb_guard		false		48.0	432.0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	true	false	6	false	false		0.0	true
xereus_tmb_mon_zombie_dragon		0	monster	3	false	xereus_tmb_mon_zombie_dragon	1	1	2500	wh_main_shp_transport	1	1	1	0	0	heavy		0	198765889	true	wh2_main_vo_culture_Black_Dragon	dragon	5	true	hef_dragon		true		2500.0	0.0	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	true	1	true	false		0.0	true
xereus_tmb_mon_ushabti		0	monstrous_infantry	2	false	xereus_tmb_mon_ushabti	16	0	900	wh_main_shp_transport	1	1	16	0	0	heavy		0	198765890	true	wh2_dlc09_vo_culture_Ushabti	wh2_dlc09_tmb_ushabti	3	false	tmb_ushabti		false		900.0	0.0	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
xereus_tmb_mon_ushabti_great		0	monstrous_infantry	2	false	xereus_tmb_mon_ushabti_great	12	0	1100	wh_main_shp_transport	1	1	12	0	0	heavy		0	198765891	true	wh2_dlc09_vo_culture_Ushabti	wh2_dlc09_tmb_ushabti_bow	4	false	tmb_ushabti		false		220.0	880.0	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
xereus_tmb_inf_tomb_guard		0	melee_infantry	1	false	xereus_tmb_inf_tomb_guard	120	0	750	wh_main_shp_transport	1	1	120	0	0	heavy		0	198765892	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_sword	3	false	tmb_tomb_guard		false		750.0	0.0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
xereus_tmb_inf_tomb_guard_halberd		0	melee_infantry	1	false	xereus_tmb_inf_tomb_guard_halberd	120	0	850	wh_main_shp_transport	1	1	120	0	0	heavy		0	198765893	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_spear_halberd	3	false	tmb_tomb_guard		false		850.0	0.0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
xereus_tmb_art_screaming_skull_catapult		0	warmachine	1	false	xereus_tmb_art_screaming_skull_catapult	44	0	700	wh_main_shp_transport	1	1	44	0	0	very_heavy		0	198765894	true	wh2_dlc09_vo_culture_Tomb_Kings	catapult	3	false	tmb_skeleton_warriors		false		80.0	720.0	true	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	true	false	6	false	false		0.0	true
steve_ark_tmb_liche_priest_vampire		-1	hero	1	false	steve_ark_tmb_liche_priest_vampire	1	0	300	wh_main_shp_transport	1	1	1	0	0	medium		0	198765880	true	wh2_dlc09_vo_culture_Tomb_Kings	wizard_vampires	0	true	tmb_general		true		300.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0	true
steve_ark_tmb_liche_priest_vampire_1		-1	hero	1	false	steve_ark_tmb_liche_priest_vampire_1	1	0	500	wh_main_shp_transport	1	1	1	0	0	heavy		0	198765881	true	wh2_dlc09_vo_culture_Tomb_Kings	wizard_vampires_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		500.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0	true
stephen_tmb_cha_tomb_king_1		-1	lord	1	false	stephen_tmb_cha_tomb_king_1	1	0	1100	wh_main_shp_transport	1	1	1	0	0	medium		0	406836789	true	wh2_dlc09_vo_culture_Tomb_Kings	lord_infantry_sword	0	true	tmb_general		true		1100.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false		0.0	true
stephen_tmb_cha_tomb_king_2		-1	lord	1	false	stephen_tmb_cha_tomb_king_2	1	0	1300	wh_main_shp_transport	1	1	1	0	0	medium		0	406836790	true	wh2_dlc09_vo_culture_Tomb_Kings	lord_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		1300.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false		0.0	true
stephen_tmb_cha_tomb_king_3		-1	lord	1	false	stephen_tmb_cha_tomb_king_3	2	0	1350	wh_main_shp_transport	1	1	1	0	0	heavy		0	406836791	true	wh2_dlc09_vo_culture_Tomb_Kings	lord_chariot	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_general_chariot	true		1350.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false		0.0	true
stephen_tmb_cha_tomb_king_4		-1	lord	1	false	stephen_tmb_cha_tomb_king_4	1	0	2000	wh_main_shp_transport	1	1	1	0	0	very_heavy		0	406836792	true	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_lord_tmb_warsphinx	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_khemrian_warsphinx	true		2000.0	0.0	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	true	0	false	false		0.0	true
xereus_tmb_mon_tomb_scorpion		0	monster	2	false	xereus_tmb_mon_tomb_scorpion	1	0	1000	wh_main_shp_transport	1	1	1	0	0	super_heavy		0	406836793	true	wh2_dlc09_vo_culture_Tomb_Scorpion	wh2_dlc09_tmb_scorpion	3	true	tmb_tomb_scorpion		true		1000.0	0.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	true	true	3	false	false		0.0	true
xereus_tmb_inf_nehekhara_warriors		0	melee_infantry	1	false	xereus_tmb_inf_nehekhara_warriors	120	0	525	wh_main_shp_transport	1	1	120	0	0	heavy		0	406836794	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_sword_dual	1	false	tmb_skeleton_warriors		false		525.0	0.0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
xereus_tmb_mon_heirotitan		0	monster	3	false	xereus_tmb_mon_heirotitan	1	0	2000	wh_main_shp_transport	1	1	1	0	0	very_heavy		0	406836795	true	wh2_dlc09_vo_culture_Heirotitan	wh2_dlc09_tmb_hierotitan	3	true	tmb_hierotitan		true		2000.0	0.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	false		0.0	true
xereus_tmb_mon_necrosphinx		0	monster	3	false	xereus_tmb_mon_necrosphinx	1	0	2000	wh_main_shp_transport	1	1	1	0	0	super_heavy		0	406836796	true	wh2_dlc09_vo_culture_Necrosphinx	wh2_dlc09_tmb_necrosphinx	3	true	tmb_necrosphinx		true		2000.0	0.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	true	true	1	false	false		0.0	true
xereus_tmb_cha_liche_priest_death_0		-1	hero	1	false	xereus_tmb_cha_liche_priest_death_0	1	0	300	wh_main_shp_transport	1	1	1	0	0	medium		0	406836797	true	wh2_dlc09_vo_culture_Tomb_Kings	wizard_death	0	true	tmb_general		true		300.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0	true
xereus_tmb_cha_liche_priest_death_1		-1	hero	1	false	xereus_tmb_cha_liche_priest_death_1	1	0	500	wh_main_shp_transport	1	1	1	0	0	heavy		0	406836798	true	wh2_dlc09_vo_culture_Tomb_Kings	wizard_death_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		500.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0	true
xereus_tmb_cha_liche_priest_light_0		-1	hero	1	false	xereus_tmb_cha_liche_priest_light_0	1	0	300	wh_main_shp_transport	1	1	1	0	0	medium		0	406836799	true	wh2_dlc09_vo_culture_Tomb_Kings	wizard_light	0	true	tmb_general		true		300.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0	true
xereus_tmb_cha_liche_priest_light_1		-1	hero	1	false	xereus_tmb_cha_liche_priest_light_1	1	0	500	wh_main_shp_transport	1	1	1	0	0	heavy		0	406836800	true	wh2_dlc09_vo_culture_Tomb_Kings	wizard_light_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		500.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0	true
xereus_tmb_cha_liche_priest_nehekhara_0		-1	hero	1	false	xereus_tmb_cha_liche_priest_nehekhara_0	1	0	300	wh_main_shp_transport	1	1	1	0	0	medium		0	406836801	true	wh2_dlc09_vo_culture_Tomb_Kings	wizard_nehekhara	0	true	tmb_general		true		300.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0	true
xereus_tmb_cha_liche_priest_nehekhara_1		-1	hero	1	false	xereus_tmb_cha_liche_priest_nehekhara_1	1	0	500	wh_main_shp_transport	1	1	1	0	0	heavy		0	406836802	true	wh2_dlc09_vo_culture_Tomb_Kings	wizard_nehekhara_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		500.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0	true
xereus_tmb_cav_necropolis_knights_1		0	monstrous_cavalry	2	false	xereus_tmb_cav_necropolis_knights_1	24	0	1425	wh_main_shp_transport	1	1	24	0	0	medium		0	406836803	true	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_spear	3	false	tmb_necro_knights		false		1425.0	0.0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	true	false	6	false	false		0.0	true
xereus_tmb_cav_necropolis_knights_2		0	monstrous_cavalry	2	false	xereus_tmb_cav_necropolis_knights_2	24	0	1575	wh_main_shp_transport	1	1	24	0	0	medium		0	406836804	true	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_halberd	3	false	tmb_necro_knights		false		1575.0	0.0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	true	false	6	false	false		0.0	true
